"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"714","Comedy","Redd Foxx","Lincoln","72zQ4tvgOYzHy2QdcB1Qfq",8,0.99,0.649,178973,0.411,0.00253,"A",0.123,-14.401,"Major",0.944,113.852,"1/4",0.619
"715","Comedy","Paul Mooney","Oprah","1pHwqYOfaiOj1l1VtfMmky",14,0.665,0.596,192667,0.465,0,"B",0.712,-15.236,"Minor",0.95,76.783,"3/4",0.715
"716","Comedy","Jerry Seinfeld","Confidence","6nPGDYmGlSGlA3Se4BrfOs",12,0.889,0.627,163107,0.256,0,"F",0.463,-16.23,"Major",0.944,82.781,"3/4",0.343
"717","Comedy","Demetri Martin","Some Jokes","7C9JhqsgvMuNaSN9BbPdCv",44,0.777,0.442,429920,0.917,0,"A",0.812,-11.585,"Minor",0.926,95.144,"3/4",0.0736
"718","Comedy","Frankie Boyle","Being Hated","2CVNM8hW3yiCLpAbtZgRxu",31,0.805,0.526,276960,0.818,0,"A",0.925,-13.307,"Major",0.947,91.351,"3/4",0.181
"719","Comedy","Lewis Black","Groundhog Day","51NjqkEi4mtAddZx3Hto3G",24,0.817,0.613,292751,0.504,0,"F",0.72,-16.899,"Minor",0.94,98.551,"1/4",0.21
"720","Comedy","Doug Benson","Watch This Not That or That","5fBz3sXzPxhH23arTNfBeZ",10,0.792,0.55,504913,0.548,0,"F",0.926,-14.798,"Major",0.943,112.42,"4/4",0.223
"721","Comedy","Jim Florentine","Sweetcheeks","0BPcaBAbqfMHTVyS7zqEdj",11,0.934,0.623,65853,0.818,0.000727,"C#",0.246,-16.084,"Major",0.859,82.526,"4/4",0.0391
"722","Comedy","Bill Engvall","T-Ball and Indian Guides","1ptpc0nZsR6qiMkLL8NwPR",25,0.733,0.542,482213,0.834,0,"C#",0.959,-10.31,"Major",0.952,79.438,"4/4",0.292
"723","Comedy","Greg Giraldo","Greg Giraldo","2s3Ftb7QoyYfkzpuVWOV7b",17,0.752,0.532,302293,0.61,0,"E",0.941,-17.344,"Major",0.944,86.032,"4/4",0.56
